                           1                            2                            3                            4                            5 
              version_number                 initial_mass                    initial_z                    burn_min1                    burn_min2 
                       10398      1.0000000000000000E+000      2.0000000000000000E-002      5.0000000000000000E+001      1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46 
                            log_star_age                               luminosity                                star_mass                                   radius                               surface_h1                              surface_he4                            total_mass_h1                           total_mass_he4                       mass_semiconv_core                             he_core_mass                           he_core_radius                              c_core_mass                           center_entropy                        luminosity_ergs_s                        planet_radius_cgs                           planet_age_cgs                          planet_mass_cgs                            Hydrogen_Mass                                 He4_Mass                             Time Step dt                                     mdot                                     T(1)                                  xa(1,1)                                  xa(2,1)                                  xa(3,1)                                  xa(4,1)                                  xa(5,1)                                  xa(6,1)                                  xa(7,1)                                  xa(8,1)                                  xa(8,1)                      Temperature of base                         Pressure of Base                            photosphere_r                             tau10_radius                            tau100_radius                                 tau_base                                 r_10_bar                                r_100_bar                               r_1000_bar                            homopause rad                                      f_r                             scale height                                   R_kbar          R_transit (1000 bar, 1d9 barye)          R_transit (1d-3 bar, 1d3 barye) 
                 5.1665542268318019E+000                  4.9591205315353537E-009                  9.0036195455459500E-004                  1.1012791404876107E-001                  7.1001999999999998E-001                  2.7000000000000002E-001                  6.3522625333802527E-004                  2.4155810878745225E-004                  7.9723007290245741E-005                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.8948895755202297E+000                  1.9051949258052522E+025                  7.6646825619656754E+009                  4.6276535051840605E+012                  1.7910000000000002E+030                  1.2635920631400001E+030                  4.8050739000000020E+029                  1.2904002090336904E+012                  0.0000000000000000E+000                  3.8936307264615527E+002                  7.1001999999999998E-001                  2.0000000000000029E-005                  2.7000000000000002E-001                  4.1107653504927535E-003                  1.2045219553172295E-003                  1.1181481483660351E-002                  2.5078669695311508E-003                  9.5536424099849232E-004                  9.5536424099849232E-004                  2.1488031570239687E+004                  2.6222432081165352E+013                  7.6646825619656734E+009                  0.0000000000000000E+000                  7.6620451527435932E+009                  6.6666666666666663E-001                  7.6561275677578449E+009                  7.6256338044687252E+009                  7.5653290004538527E+009                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.7711735166624580E+006                  7.5661614505162525E+009                  7.5798641786509504E+009                  7.6734113978602085E+009 
                 5.7091705447952084E+000                  4.9467303404050784E-009                  9.0036195455459500E-004                  1.1012213097715308E-001                  7.1001999999999998E-001                  2.7000000000000002E-001                  6.3522625333802527E-004                  2.4155810878745225E-004                  7.9737348256614978E-005                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.8948878987559752E+000                  1.9004348621768229E+025                  7.6642800717479000E+009                  1.6142736275203662E+013                  1.7910000000000002E+030                  1.2635920631400001E+030                  4.8050739000000020E+029                  3.2109286481427124E+012                  0.0000000000000000E+000                  3.8912985909886413E+002                  7.1001999999999998E-001                  2.0000000000000029E-005                  2.7000000000000002E-001                  4.1107653504927535E-003                  1.2045219553172295E-003                  1.1181481483660351E-002                  2.5078669695311508E-003                  9.5536424099849232E-004                  9.5536424099849232E-004                  2.1488142820146291E+004                  2.6222898581554152E+013                  7.6642800717479000E+009                  0.0000000000000000E+000                  7.6616433495943060E+009                  6.6666666666666663E-001                  7.6557310140390015E+009                  7.6252585758799648E+009                  7.5649919569254923E+009                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.7711735166624580E+006                  7.5658170878800735E+009                  7.5795195078278208E+009                  7.6730667270370789E+009 
                 6.1524321155312665E+000                  4.9166183418534731E-009                  9.0036195455459500E-004                  1.1010791608750667E-001                  7.1001999999999998E-001                  2.7000000000000002E-001                  6.3522625333802527E-004                  2.4155810878745225E-004                  7.9772697245861343E-005                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.8948837266072784E+000                  1.8888664345732671E+025                  7.6632907438582907E+009                  4.4795947033498836E+013                  1.7910000000000002E+030                  1.2635920631400001E+030                  4.8050739000000020E+029                  7.9898179737464727E+012                  0.0000000000000000E+000                  3.8856139866616923E+002                  7.1001999999999998E-001                  2.0000000000000029E-005                  2.7000000000000002E-001                  4.1107653504927535E-003                  1.2045219553172295E-003                  1.1181481483660351E-002                  2.5078669695311508E-003                  9.5536424099849232E-004                  9.5536424099849232E-004                  2.1488419121747076E+004                  2.6224057548622273E+013                  7.6632907438582888E+009                  0.0000000000000000E+000                  7.6606557031428604E+009                  6.6666666666666663E-001                  7.6547561181314764E+009                  7.6243358519828920E+009                  7.5641627595095081E+009                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.7711735166624580E+006                  7.5649699327625723E+009                  7.5786715944901037E+009                  7.6722188136993618E+009 
                 6.5660043068915037E+000                  4.8434540803041264E-009                  9.0036195455459500E-004                  1.1007326597967394E-001                  7.1001999999999998E-001                  2.7000000000000002E-001                  6.3522625333802527E-004                  2.4155810878745225E-004                  7.9858672061720301E-005                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.8948733412611460E+000                  1.8607581885712392E+025                  7.6608791656533480E+009                  1.1609430442757988E+014                  1.7910000000000002E+030                  1.2635920631400001E+030                  4.8050739000000020E+029                  1.9881223860432820E+013                  0.0000000000000000E+000                  3.8716863870375153E+002                  7.1001999999999998E-001                  2.0000000000000029E-005                  2.7000000000000002E-001                  4.1107653504927535E-003                  1.2045219553172295E-003                  1.1181481483660351E-002                  2.5078669695311508E-003                  9.5536424099849232E-004                  9.5536424099849232E-004                  2.1489099626684198E+004                  2.6226916918895770E+013                  7.6608791656533470E+009                  0.0000000000000000E+000                  7.6582482767335815E+009                  6.6666666666666663E-001                  7.6523791605419292E+009                  7.6220852890432968E+009                  7.5621393326256313E+009                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.7711735166624580E+006                  7.5629029436313610E+009                  7.5766027550072575E+009                  7.6701499742165155E+009 
                 6.9213998970444397E+000                  4.7010352232885628E-009                  9.0036195455459500E-004                  1.1000527658899122E-001                  7.1001999999999998E-001                  2.7000000000000002E-001                  6.3522625333802527E-004                  2.4155810878745225E-004                  8.3676407564979775E-005                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.8948518729139794E+000                  1.8060437120829998E+025                  7.6561472400406122E+009                  2.6315189632661325E+014                  1.7910000000000002E+030                  1.2635920631400001E+030                  4.8050739000000020E+029                  3.1558149984000000E+013                  0.0000000000000000E+000                  3.8440932906278999E+002                  7.1001999999999998E-001                  2.0000000000000029E-005                  2.7000000000000002E-001                  4.1107653504927535E-003                  1.2045219553172295E-003                  1.1181481483660351E-002                  2.5078669695311508E-003                  9.5536424099849232E-004                  9.5536424099849232E-004                  2.1490477040760892E+004                  2.6232724784143031E+013                  7.6561472400406103E+009                  0.0000000000000000E+000                  7.6535247708163977E+009                  6.6666666666666663E-001                  7.6477127088401480E+009                  7.6176628164422503E+009                  7.5581575676197786E+009                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.7711735166624580E+006                  7.5588365476234913E+009                  7.5725327173186626E+009                  7.6660799365279207E+009 
                 7.0000000000000000E+000                  4.6530279270338673E-009                  9.0036195455459500E-004                  1.0998217572111141E-001                  7.1001999999999998E-001                  2.7000000000000002E-001                  6.3522625333802527E-004                  2.4155810878745225E-004                  8.3770418783164091E-005                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.8948442555678291E+000                  1.7876002690078710E+025                  7.6545394658379135E+009                  3.1536000000000000E+014                  1.7910000000000002E+030                  1.2635920631400001E+030                  4.8050739000000020E+029                  2.0686623167476375E+013                  0.0000000000000000E+000                  3.8346441003228909E+002                  7.1001999999999998E-001                  2.0000000000000029E-005                  2.7000000000000002E-001                  4.1107653504927535E-003                  1.2045219553172295E-003                  1.1181481483660351E-002                  2.5078669695311508E-003                  9.5536424099849232E-004                  9.5536424099849232E-004                  2.1490958645835806E+004                  2.6234760531240984E+013                  7.6545394658379116E+009                  0.0000000000000000E+000                  7.6519199554034681E+009                  6.6666666666666663E-001                  7.6461264486997004E+009                  7.6161582294264746E+009                  7.5568011856303864E+009                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.7711735166624580E+006                  7.5574516622520247E+009                  7.5711465912591314E+009                  7.6646938104683905E+009 
